SQ_CANDIDATO,SG_UE,NR_PARTIDO,CD_OCUPACAO,IDADE_DATA_POSSE,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_NACIONALIDADE,SG_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,TP_AGREMIACAO,COMP_COLIGACAO,QT_PART_COL,QT_BENS,VL_TOT_BENS,REC_PROP,REC_PF,REC_PJ,REC_PARTCAND,REC_OUTRAS,VR_DESPESA,VOTOS_PART_ELEC_ANT,QT_ELEITOS_ELEC_ANT,RESULTADO
250000082035,71072,13,999,42,2,8,1,1,35,71072,1,4,3,2,346000.0,6900.0,0.0,0.0,47713.759999999995,0.0,41540.45,736408,11,0
250000082043,71072,13,999,50,4,8,7,1,29,35599,1,4,3,3,59746.14,1650.0,0.0,0.0,48825.06,0.0,36947.3,736408,11,0
250000082076,71072,13,999,55,4,6,9,1,35,61387,1,4,3,3,149793.94999999998,9250.0,0.0,0.0,52950.439999999995,0.0,39561.8,736408,11,0
250000082030,71072,13,131,61,2,8,9,1,35,67555,1,4,3,7,527346.67,27035.0,0.0,40000.0,213830.54,0.0,143085.36,736408,11,0
250000082074,71072,13,999,40,4,5,3,1,35,71072,1,4,3,0,0.0,1500.0,0.0,21550.0,173330.54,0.0,116506.72,736408,11,0
250000082054,71072,13,999,33,2,8,3,1,41,77194,1,4,3,0,0.0,16000.0,0.0,0.0,134660.43,0.0,71240.16,736408,11,0
250000082060,71072,13,999,45,4,8,9,1,35,71072,1,4,3,0,0.0,549.0,0.0,0.0,48857.91999999999,0.0,32644.24,736408,11,0
250000082019,71072,13,278,53,2,6,9,1,41,77496,1,4,3,3,39098.86,5500.0,0.0,0.0,195352.53999999998,0.0,175712.38,736408,11,0
250000081970,71072,13,999,52,2,8,3,1,31,52752,1,4,3,2,365280.74,5467.8099999999995,0.0,40000.0,101410.43,0.0,106944.56999999999,736408,11,0
250000082072,71072,13,999,44,4,8,3,1,35,70718,1,4,3,2,209203.0,9560.0,0.0,7550.0,426473.54000000004,0.0,306005.52,736408,11,0
250000082065,71072,13,999,34,4,7,1,1,35,64777,1,4,3,0,0.0,0.0,0.0,0.0,20290.79,0.0,20290.79,736408,11,0
250000082037,71072,13,999,57,4,6,1,1,31,50970,1,4,3,1,65000.0,0.0,0.0,0.0,50979.899999999994,0.0,35426.549999999996,736408,11,0
250000082020,71072,13,144,54,2,8,3,1,35,71072,1,4,3,1,30000.0,0.0,0.0,0.0,123022.93,0.0,65422.93,736408,11,0
250000081969,71072,13,999,40,2,7,3,1,29,37796,1,4,3,1,40000.0,0.0,0.0,0.0,194093.41999999998,0.0,88371.23,736408,11,0
250000082018,71072,13,999,50,2,6,9,1,27,27197,1,4,3,5,416980.0,57009.83,0.0,125.0,165918.78,0.0,116028.07,736408,11,0
250000081984,71072,13,999,36,2,3,1,1,26,24970,1,4,3,0,0.0,0.0,0.0,0.0,110233.43,0.0,63137.43,736408,11,0
250000081975,71072,13,931,17,4,7,1,1,35,71072,1,4,3,0,0.0,0.0,0.0,0.0,20290.79,0.0,20290.79,736408,11,0
250000081981,71072,13,999,52,4,6,3,1,42,81833,1,4,3,1,40000.0,0.0,0.0,0.0,49324.56,0.0,31841.21,736408,11,0
250000081994,71072,13,931,18,2,7,1,1,35,71072,1,4,3,0,0.0,0.0,0.0,29800.0,127485.33,0.0,138690.33000000002,736408,11,0
250000082009,71072,13,230,28,2,8,1,1,35,71072,1,4,3,2,32155.8,470.0,0.0,0.0,49447.05999999999,0.0,39977.88,736408,11,0
250000081985,71072,13,999,51,4,8,7,1,41,76678,1,4,3,4,400132.48,9000.0,0.0,100000.0,385656.04000000004,0.0,214657.2,736408,11,0
250000082000,71072,13,999,42,2,6,3,1,35,71072,1,4,3,0,0.0,0.0,0.0,0.0,57697.05999999999,0.0,31863.709999999995,736408,11,0
250000081968,71072,13,142,48,2,8,3,1,31,52752,1,4,3,2,270000.0,0.0,0.0,7060.0,241905.53999999998,0.0,154310.89,736408,11,0
250000082027,71072,13,390,31,4,7,3,1,35,71072,1,4,3,0,0.0,1200.0,0.0,0.0,50785.87,0.0,34235.64,736408,11,0
250000101850,71072,13,999,29,4,8,1,1,35,71072,1,4,3,3,138994.08000000002,0.0,0.0,0.0,17912.41,0.0,16912.41,736408,11,0
250000082075,71072,13,999,45,4,6,3,1,35,71072,1,4,3,5,55864.68,0.0,0.0,0.0,20290.79,0.0,20290.79,736408,11,0
250000082062,71072,13,301,52,2,8,7,1,35,71072,1,4,3,1,200000.0,1550.0,0.0,12360.0,159985.43,0.0,92821.43,736408,11,0
250000081999,71072,13,101,38,2,8,3,1,35,71072,1,4,3,3,44515.65,2400.0,0.0,56961.55,164540.28,0.0,124607.15,736408,11,0
250000082064,71072,13,999,50,2,8,9,1,35,71072,1,4,3,1,2000.0,0.0,0.0,14000.0,100485.43000000001,0.0,83845.43,736408,11,0
250000082022,71072,13,999,45,2,8,3,1,29,35416,1,4,3,0,0.0,50.0,0.0,16000.0,240651.0,0.0,205762.96000000002,736408,11,0
